Voted_Candidate,Reason_for_Choosing,Winning_Party_Guess,Most_Important_Issue_to_be_Addressed,Age,Gender,Religion,Race,Highest_Educational_Qualification,Occupation,District
Sajith Premadasa (NDF),Not like to see a single family come to the power once again. ,New Democratic Front (NDF),"National Security, Development of the Country, Financial Stability and Freedom, Corruption",31,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Sajith Premadasa (NDF),i don't like to give power one family again.,New Democratic Front (NDF),"National Security, Living Expenses, Financial Stability and Freedom",30,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Sajith Premadasa (NDF),democracy,New Democratic Front (NDF),"National Security, Living Expenses, Employment Opportunities, Financial Stability and Freedom, Corruption",39,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Living Expenses, Development of the Country",55,Male,Buddhist,Sinhalese,Up to Grade 11,Self Employed,Galle
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Living Expenses",57,Male,Buddhist,Sinhalese,Passed Grade 5,Self Employed,Galle
Other,,Cant get 50% at initial stage,"National Security, Development of the Country, Religious Issues",24,Male,Buddhist,Sinhalese,Graduate / Professional,Student,Colombo
General Mahesh Senanayake (NPM),,Other,"Living Expenses, Ethnic Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",35,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Sajith Premadasa (NDF),,New Democratic Front (NDF),Development of the Country,52,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Gampaha
Other,,Do not Know,"National Security, Development of the Country, Financial Stability and Freedom, Security",24,Female,Buddhist,Sinhalese,Passed A/L,Student,Colombo
Sajith Premadasa (NDF),I dont want gotabaya to come to power,New Democratic Front (NDF),"National Security, Ethnic Issues, Religious Issues, Corruption",28,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Matara
Other,,Other,"Development of the Country, Ethnic Issues, Financial Stability and Freedom, Corruption, Security",27,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,Better country ,Other,"National Security, Development of the Country, Religious Issues, Financial Stability and Freedom, Corruption",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),Strong character ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country",36,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kalutara
Gotabhaya Rajapaksha (SLPP),For his policy ,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,29,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Colombo
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption",24,Female,Buddhist,Sinhalese,Passed A/L,Student,Gampaha
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Financial Stability and Freedom, Corruption",25,Male,Buddhist,Sinhalese,Graduate / Professional,Student,Colombo
Gotabhaya Rajapaksha (SLPP),to maintain law and order,Sri Lanka Podujana Peramuna (SLPP),National Security,65,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Gampaha
General Mahesh Senanayake (NPM),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, International Involvements, Financial Stability and Freedom, Corruption, Security",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Other,Employment Opportunities,24,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),  no other person,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country",62,Female,Buddhist,Sinhalese,Graduate / Professional,Retired,Gampaha
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Financial Stability and Freedom",24,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,I am still with a doubt to whom to vote as every candidate has a fellow group of followers that will continue to misuse their power over civilians ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, International Involvements, Financial Stability and Freedom",25,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),National Security,60,Female,Christian,Sinhalese,Passed O/L,Self Employed,Gampaha
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),National Security,65,Male,Buddhist,Sinhalese,Passed O/L,Retired,Gampaha
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country",28,Female,Buddhist,Sinhalese,Graduate / Professional,Student,Kurunegala
Gotabhaya Rajapaksha (SLPP),Country needs leader who can tolerate the crime and the justice correctly with out any intervention,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, Financial Stability and Freedom, Corruption, Security",30,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kandy
Other,,New Democratic Front (NDF),Development of the Country,28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Kalutara
Gotabhaya Rajapaksha (SLPP),I feel that Gotabaya will bring the change that we expect,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country",25,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Do not Know,"Development of the Country, Financial Stability and Freedom",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Financial Stability and Freedom",27,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Gampaha
Sajith Premadasa (NDF),No other viable options,Sri Lanka Podujana Peramuna (SLPP),Corruption,28,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kurunegala
Sajith Premadasa (NDF),,New Democratic Front (NDF),Living Expenses,54,Male,Buddhist,Sinhalese,Up to Grade 11,Self Employed,Galle
Other,Srilanka requires a Leader not a Joker ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Financial Stability and Freedom, Security",24,Female,Buddhist,Sinhalese,Passed A/L,Student,Gampaha
Sajith Premadasa (NDF),Family background,New Democratic Front (NDF),"Living Expenses, Employment Opportunities",50,Female,Buddhist,Sinhalese,Up to Grade 11,Self Employed,Galle
Gotabhaya Rajapaksha (SLPP),This NDF government stopped giving new appointments . I am awaiting white I permenant as a lecturer at ITUM . I want a stable job,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, Financial Stability and Freedom, Corruption, Security",28,Male,Buddhist,Sinhalese,Graduate / Professional,Unemployed,Colombo
Other,,Do not Know,"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",29,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Colombo
Other,Who ever becomes the president won't change the system of Sri Lanka.,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country",26,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),He is the best leader for this developing country,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,31,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Kurunegala
Gotabhaya Rajapaksha (SLPP),,Do not Know,"National Security, Development of the Country, Ethnic Issues, Financial Stability and Freedom",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Kalutara
Anura Kumara Dissanayake (NPP),,Do not Know,Financial Stability and Freedom,31,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Anura Kumara Dissanayake (NPP),,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,26,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Other,Financial Stability and Freedom,34,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kalutara
Other,,Other,"National Security, Development of the Country, Employment Opportunities",26,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,30,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Gotabhaya Rajapaksha (SLPP),No one else without him,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption",29,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Galle
Sajith Premadasa (NDF),Giving jobs to family members,New Democratic Front (NDF),"National Security, Living Expenses, Employment Opportunities",60,Female,Buddhist,Sinhalese,Up to Grade 11,Unemployed,Galle
Sajith Premadasa (NDF),"Family background, job opportunities",New Democratic Front (NDF),"National Security, Living Expenses, Employment Opportunities",62,Male,Buddhist,Sinhalese,Up to Grade 11,Retired,Galle
Other,Not a fan of politics. Hence I opt to avoid from voting.,Sri Lanka Podujana Peramuna (SLPP),"First, it should be the descipline of the citizens.",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Sajith Premadasa (NDF),,New Democratic Front (NDF),"Living Expenses, Employment Opportunities",58,Male,Buddhist,Sinhalese,Passed Grade 5,Self Employed,Galle
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Living Expenses",52,Female,Buddhist,Sinhalese,Up to Grade 11,Self Employed,Galle
Sajith Premadasa (NDF),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country",28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Galle
Gotabhaya Rajapaksha (SLPP),Good personality,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country",31,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Galle
Gotabhaya Rajapaksha (SLPP),Good principles and strong personality,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Financial Stability and Freedom",33,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Galle
Anura Kumara Dissanayake (NPP),Good principles,Sri Lanka Podujana Peramuna (SLPP),"National Security, International Involvements",65,Male,Buddhist,Sinhalese,Passed A/L,Retired,Galle
General Mahesh Senanayake (NPM),He is not been a professional politician so far,Do not Know,"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, International Involvements, Financial Stability and Freedom, Corruption, Security",29,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Do not Know,Financial Stability and Freedom,28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in Government Sector,Colombo
Sajith Premadasa (NDF),,New Democratic Front (NDF),"Living Expenses, Employment Opportunities",32,Female,Buddhist,Sinhalese,Up to Grade 11,Employed in the Private Sector,Matara
Sajith Premadasa (NDF),,New Democratic Front (NDF),"Living Expenses, Development of the Country, Employment Opportunities",29,Female,Buddhist,Sinhalese,Up to Grade 11,Unemployed,Matara
Sajith Premadasa (NDF),,New Democratic Front (NDF),"Living Expenses, Development of the Country",58,Female,Buddhist,Sinhalese,Up to Grade 11,Unemployed,Matara
Sajith Premadasa (NDF),,New Democratic Front (NDF),Living Expenses,50,Male,Buddhist,Sinhalese,Passed Grade 5,Self Employed,Galle
General Mahesh Senanayake (NPM),Good policies,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country",36,Female,Buddhist,Sinhalese,Passed A/L,Employed in Government Sector,Galle
Gotabhaya Rajapaksha (SLPP),National security ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Corruption",22,Male,Buddhist,Sinhalese,Graduate / Professional,Student,Galle
Gotabhaya Rajapaksha (SLPP),National security ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Corruption",22,Male,Buddhist,Sinhalese,Graduate / Professional,Student,Galle
Gotabhaya Rajapaksha (SLPP),As per the canditate his the most suitable one. Also have clear vision to something for country developments. Don't know whether he will do or not. But as per the feels and experiance we can expect such thing than other candidate,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, International Involvements, Financial Stability and Freedom, Corruption",34,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Sajith Premadasa (NDF),,New Democratic Front (NDF),"Living Expenses, Development of the Country",63,Female,Buddhist,Sinhalese,Passed Grade 5,Unemployed,Galle
Sajith Premadasa (NDF),,New Democratic Front (NDF),"Living Expenses, Development of the Country",45,Male,Buddhist,Sinhalese,Passed O/L,Employed in the Private Sector,Galle
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Living Expenses",41,Female,Buddhist,Sinhalese,Passed O/L,Unemployed,Galle
Gotabhaya Rajapaksha (SLPP),Good policies and education,Sri Lanka Podujana Peramuna (SLPP),National Security,71,Female,Buddhist,Sinhalese,Passed A/L,Retired,Galle
Gotabhaya Rajapaksha (SLPP),He is the only option available to save the country,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Other,,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, International Involvements, Financial Stability and Freedom",36,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kandy
Gotabhaya Rajapaksha (SLPP),He has great plans to increase revenues. And to make good security measures.,Sri Lanka Podujana Peramuna (SLPP),"National Security, International Involvements, Financial Stability and Freedom, Security",24,Male,Buddhist,Sinhalese,Undergraduate,Student,Colombo
Sajith Premadasa (NDF),,New Democratic Front (NDF),"Living Expenses, Development of the Country",22,Male,Buddhist,Sinhalese,Up to Grade 11,Self Employed,Galle
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Living Expenses",63,Female,Buddhist,Sinhalese,Up to Grade 11,Unemployed,Galle
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),National Security,45,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Anura Kumara Dissanayake (NPP),No other option,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country",29,Male,Islam,Sri Lankan Moor,Graduate / Professional,Employed in the Private Sector,Puttalam
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Living Expenses, Development of the Country",51,Female,Buddhist,Sinhalese,Up to Grade 11,Unemployed,Galle
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Development of the Country",64,Male,Buddhist,Sinhalese,Up to Grade 11,Retired,Galle
Gotabhaya Rajapaksha (SLPP),Good personality,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country",66,Female,Buddhist,Sinhalese,Up to Grade 11,Self Employed,Galle
Gotabhaya Rajapaksha (SLPP),Strong strict person,Sri Lanka Podujana Peramuna (SLPP),National Security,68,Male,Buddhist,Sinhalese,Up to Grade 11,Retired,Galle
General Mahesh Senanayake (NPM),"need a new leader , need a chnage",Do not Know,"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Corruption",38,Female,Christian,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Other,,New Democratic Front (NDF),Corruption,22,Female,Buddhist,Sinhalese,Undergraduate,Student,Gampaha
Sajith Premadasa (NDF),,New Democratic Front (NDF),"National Security, Living Expenses, Employment Opportunities",24,Female,Hindu,Sri Lankan Tamil,Undergraduate,Employed in the Private Sector,Vavuniya
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country",26,Female,Buddhist,Sinhalese,Graduate / Professional,Student,Colombo
Sajith Premadasa (NDF),He is trustable,New Democratic Front (NDF),"Living Expenses, Religious Issues",26,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
General Mahesh Senanayake (NPM),The best available alternative,Do not Know,"National Security, Development of the Country, Employment Opportunities, Financial Stability and Freedom",30,Female,Buddhist,Sinhalese,Graduate / Professional,Self Employed,Anuradhapura
Other,,Do not Know,"Development of the Country, Employment Opportunities, Financial Stability and Freedom",29,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Sajith Premadasa (NDF),,New Democratic Front (NDF),National Security,29,Female,Hindu,Sri Lankan Tamil,Graduate / Professional,Employed in Government Sector,Colombo
Other,,Do not Know,"National Security, Living Expenses, Development of the Country, Financial Stability and Freedom, Corruption",22,Female,Buddhist,Sinhalese,Passed A/L,Student,Colombo
Gotabhaya Rajapaksha (SLPP),,National People’s Movement (NPM),Religious Issues,25,Female,Buddhist,Sinhalese,Undergraduate,Student,Badhulla
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, International Involvements",28,Female,Buddhist,Sinhalese,Undergraduate,Employed in Government Sector,Colombo
Gotabhaya Rajapaksha (SLPP),Best attitude and true leader,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, International Involvements",24,Male,Christian,Sinhalese,Undergraduate,Employed in the Private Sector,Gampaha
Other,I am out of country So I dnt have ability to vote,Sri Lanka Podujana Peramuna (SLPP),"Development of the Country, Financial Stability and Freedom, Corruption",26,Female,Buddhist,Sinhalese,Undergraduate,Student,Colombo
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Financial Stability and Freedom",28,Female,Buddhist,Sinhalese,Undergraduate,Student,Colombo
Other,,Sri Lanka Podujana Peramuna (SLPP),"Living Expenses, Development of the Country, Financial Stability and Freedom",26,Female,Buddhist,Sinhalese,Graduate / Professional,Student,Colombo
Gotabhaya Rajapaksha (SLPP),His education level,Sri Lanka Podujana Peramuna (SLPP),"National Security, Development of the Country, Employment Opportunities, Financial Stability and Freedom, Corruption",27,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Kalutara
Other,Sri Lankan Politicians are hopeless ,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Employment Opportunities, Ethnic Issues, Religious Issues, Financial Stability and Freedom, Corruption",29,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Gampaha
Other,,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,28,Female,Buddhist,Sinhalese,Graduate / Professional,Student,Colombo
Gotabhaya Rajapaksha (SLPP),Has good plans with doable deadlines,Sri Lanka Podujana Peramuna (SLPP),"National Security, Living Expenses, Development of the Country, Financial Stability and Freedom, Corruption",26,Male,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Gotabhaya Rajapaksha (SLPP),,Sri Lanka Podujana Peramuna (SLPP),Development of the Country,28,Female,Buddhist,Sinhalese,Graduate / Professional,Employed in the Private Sector,Colombo
Anura Kumara Dissanayake (NPP),only place where the true hope lies,New Democratic Front (NDF),"National Security, Development of the Country, Employment Opportunities, Ethnic Issues, Financial Stability and Freedom, Corruption",25,Male,Buddhist,Sinhalese,Graduate / Professional,Unemployed,Galle
